,filename,raw_url,yahoo_image_url,title
0,Dog_1,https://www.goodhousekeeping.com/life/pets/g4531/cutest-dog-breeds/,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG9rPgZApaBCJC9fM4dC_sYSGRDzFzrqm3OMb3720emkNpHLoRYOTl4cHxuD7kBZvcmbcjLiUoz5cGiQ96nCVWdFCV9-ziaJfQwcNmPPvdDJt75kZIdDFzPsvmz6T4Q_CYM_4qFXugXiRo3LRLC9AyA7t4DJDTaWdL1vuMU87arGFmJQDDVjTbCUbi8GPPiNbxkPfwBr29qurO3TOmeD1sbZGlcjzNqDDszuzqmqTJRGgPcdndOd4usqrP_guJ19ieZnHK5955_nku1sfs4DcuaFcASlf5dnQRQXu2ThzEa3dbfcGt2bPFUPZx_WkPOfVnOLPH5jD9_K8_OZRfgZlq8Oo6g49n273nRuOgWVDiG2H6IymfjJQRJOZx1Z6rwsvyw==/dog-puppy-on-garden-royalty-free-image-1586966191.jpg,The 30 Cutest Dog Breeds - Most Adorable Dogs and Puppies
1,Dog_2,https://www.thedogandfriends.com/,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGygMQVkKkqnuf70M-fNTh6GzQMRg0ZbkEqDZ9gXKxZBzSmsW3MS0S82tUYJ5aOZgexe9Ecov4oqhoOFpnDUsZqMY5T3xFBVo_ht3cxBpDGtHrtvQGdN0sJvM-MC0TacXuA2Ycm_Zx_TOBZLXvYlpOYV-rdmS-JDkd7d-jpzP83NdFZTlJPfZ-4f2uEnuGbp7CcFDvRUXs1rTQ6M2oEskS7UNj5lvVZ1I_XzOlBKGSLEup4xbKVbqeZKsEBOo_lkR_xTQQbzQ0p4caWkyaSELo94=/img-hero_dog.png,THE DOG（ザ・ドッグ）公式ブランドサイト
2,Dog_3,https://www.goodhousekeeping.com/life/pets/advice/g1921/large-dog-breeds/,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG9rPgZApaBCJC9fM4dC_sYSGRDzFzrqm3OMb3720emkNnOAsC3na65n42ISWWPt-zaYeJdFjrKs7ajFzMhfE6PBJqPUKN7T1Pk5i1-L9wCdzi5WQY3Kq5XVOnKtaqS47Uh0oWR948QC-0W_j-djHtOLIgoo0W7X1rJ6ClUBBkWDMRUSR1Ewg_As52Q-YjuA_i-E7uIdUWkxrjncUj-fDHeTvcT8LlYEnX7abdSMEp_v7zyUFX3tJ_2FbORSufDRAFqFwLUoBlfpck-lOmldj_8YM_QD1P-o7YPgFUjfn8uOxTNj65nTiqkoOg-YjLhO6coMNSjNYC6BAdjpDNZwfF5_a04j86pdbxClYcmSir4Fv6SGCJoDfADYg9tgmP44H7BTQQbzQ0p4caWkyaSELo94=/golden-retriever-royalty-free-image-506756303-1560962726.jpg,45 Best Large Dog Breeds - Top Big Dogs List and Pictures
3,Dog_4,https://paradepets.com/dogs/cutest-dog-breeds,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG9a7MkzK2q_smqwFajROPzKo8C-D24mMbs6cypRoXA64yoDSu8wkMu5moTgTn-jM3hFblISikYTWYgyig1qOGPMdCfxoCIsXdRJADCGpL5ajrUD1anILKWUuqfB28qaSRNKqOFe7ZhTcCUYszJFp_XC5LvGQFhdwEkxi0MiPbDKJz3dFNYOVn-950f0TX4hfHiWXNuNXxcFyIy-mecXsnOBeQCJBebn62rzScXBE0l1UMmZzRHYjrWEhlKIFHNRX7zK6ORpzPf7OFpD40n_M3-zLRyATXASUlp41zBDZjaDkaHtbNgfsfAf1BKroViyxJ7X1mbbCd5AEfcnxBF_jxNQSPDgl-qQHeQN_624SapY5-GgWLczB58-_fVx4eac3fPKOs0HD2JdbiAMZL40A1VI=/cutest-dog-breeds-jpg.jpg,30 Cutest Dog Breeds — See Cute Dogs & Puppies - Parade Pets
4,Dog_5,https://en.wiktionary.org/wiki/dog,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGx5cm8knTLo61O84kVTxOan841a30-aIJSoqkmlQNsP4-Qv0KVqX9M9vYFUiwJk7TUFSTRk3ObWhI5fxW6yE8w8w_Z0Yh_-L-oKsgF1OXHE5RKZkeSAJEuR501sHYAVjGW5B3Ap_0ARbcxpsvEdZlDYXNeQmBMVt8GlAQ-NCX9qCo8LKF6AjTRFPEJVogbdhDv4mxuUZYmlqg83lCUvBzGt3ZThxQVSSX3ufNQ7XrTK6P9BRdGb6MY4vF0HYTZemqjly1uvVTpjj1Xqj9-F4rprHdh3N0-8R43gRHeTyBAX0GKFA7SX94K-pxr-ulCgcfV0hP-rOLrQ5y0DrKzwflbs=/640px-YellowLabradorLooking.jpg,dog - Wiktionary
5,Dog_6,https://www.thesprucepets.com/chinese-dog-breeds-4797219,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG4SnGejl7_qhZFNpKsZIJJcjsDGuKY-SceLEsLGYm7H4vuKfUQiOLKNkEw3nhgqu4Pgjbd_bPEkR_nfJ-Av2ikMNM4aunlvBveydt2sFCvSbR7H1fxi_XzDP-Bolizmp5VVhpYA0Cyn60pNhpCl56mCkqkIznpsCem64Wii9JlMeO0PyIIOkpsPhyEc1I3viCghU2raPoxVnv6MK25XU2X8_WMkuwK2WotsN8gQFBY1K9evJIp3wR6PNnXBHiS4kXiCB-F5PdVm9BBdSVKnteicVbyoKD0lxwQMCRbuqBNrKgCA4RGaid3itx7yOlGmFKauWD8Jm637V5HDHj2kVN_nXY8cec3KWA2GnYWtd7ylnnea89WRiXZLt9IuFRxYkLiMbxPiCtUljjcMeybVOyn0D1EXRHwW4JVg-yY7mnpYx/chinese-dog-breeds-4797219-hero-2a1e9c5ed2c54d00aef75b05c5db399c.jpg,12 Unique Dog Breeds That Come From China
6,Dog_7,https://www.thesprucepets.com/english-dog-breeds-4788340,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG4SnGejl7_qhZFNpKsZIJJcjsDGuKY-SceLEsLGYm7H4N5yQ5slQ9XH6-HNSmmLBL-f1cCyls3UuJzP24Fixb4GYX9_Ffx3vmE4t1FNpoqkwR7H1fxi_XzDP-Bolizmp5VVhpYA0Cyn60pNhpCl56mA8KOvPR6zMvke5fQ8mYB8yMTZd1KXMbt54_ex3eMXhG4VQxC-HCeJ7d119QNmudaBuK1RhBBaRMLAcfi8BacJzYZ06wL5y5cyEKIjrGhlepCCB-F5PdVm9BBdSVKnteicVbyoKD0lxwQMCRbuqBNrKgCA4RGaid3itx7yOlGmFKauWD8Jm637V5HDHj2kVN_nus48k3kaF2eFYnShmzZKcq-c69Is-WG7S5EH5l3NyWrvC_8H6GxheuV_lfEARibDyuWA5eXAWoQIlytlLOmo6/english-dog-breeds-4788340-hero-14a64cf053ca40f78e5bd078b052d97f.jpg,20 Popular English Dog Breeds
7,Dog_8,https://www.britannica.com/animal/beagle-dog,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8ubdLLQ9yvMQzUOZbSir4HiWx3B2irJGJ3jthbVvUKIF9J_2tb3-L2DZygA4gjRS_fcIXw0H5DWSWkyfuGTtSbp2AHI2jBsI1YwSoXpUiUFwTKD2Bvh1DUWRdcfAg8xrMviI_Aq2JEKaeaQdv5YXmiB_0GGXnHU1dgclEeB1knOfLGb-WAst5Hz1zhmlUGE3fCj8rNGTCernZtJEwLPzB5WmZ65nklN4f49SWQ5bWBvFkZT-3RsYZOXUItltmUQcApTYr_JQCuPzH4Uv_FwmC0=/beagle-hound-dog.jpg,"Beagle | Overview, Description, Temperament, & Facts ..."
8,Dog_9,https://www.bbc.com/news/newsbeat-61494094,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG96UCaFDlLucBB3FsThCQIhJSvQFe9sEMXqI4ndXciU43M5nYQkTh45xYJIy3NgMHCs3oxuhjJt5vMVpv4FhpWIm1K03GHiWNU8G-Bnmt8nSuoEOCO0Ssafx46O8nVv1kFjYCv3qGCSD0Kpb1YW9DHMsAcPkkKOmJQ5M4O55z8cBSrOIb74hC735APTQwch577nIGXvL5Xb3kBd306ZtJN8IdPg849LO5pfMhRBhNffSwZi0XlEgnnJ4NwKCTnCBOKAtjxBL-ac96el807yZvsBeJmoyjgDMNwMcID8D8s3BMJQ7eViUkqwazW8eYI4tsQ==/_124800859_gettyimages-817514614.jpg,Pug health so poor it 'can't be considered a typical dog ...
9,Dog_10,https://www.cnn.com/2023/04/12/americas/pearl-world-shortest-dog-scli-intl/index.html,https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG-51-SxWhUI1QFVIr-YKGPdgJLgE8ey9lLm-7Ue-4Tw-I2zJkT8K5qboo00CyBGYj5jFKd5IAj5BlfzowURLIVPy_eUV-AfftTua0RHojLu4k3Dm8H7tlw8jZZy-BxuOU4LI-tIHiNGYy7n3qCmEUY7BMoPYG-HUNRZF1x8CDzGsy-Ij8CrYkQpp5pB2_lheaIH_QYZecdTV2ByUR4HWSc58sZv5YCy3kfPXOGaVQYTdS3OQwelJIPxUNGU2vxlgF2a3yiXbBNKkEE3lI-i4jfZ8rPGS3287xQOWjMJCFTyi7hfqfnuKpBVxfiQAGYPfwg==/230412095218-02-shortest-dog.jpg,Pocket-sized Pearl is the world's shortest dog | CNN
